Student_ID,Country,Age,Gender,Education_Level,Field_of_Study,Platform_Used,Device_Used,Learning_Mode,Enrollment_Date,Daily_Learning_Hours,Quizzes_Attempted,Assignments_Submitted,Course_Completion_Rate(%),Satisfaction_Score(1-5)
29,India,28,Other,Undergraduate,Data Science,Coursera,Tablet,Hybrid,2023-10-10,1.2,9,5,31.85,1
30,Pakistan,16,Male,Postgraduate,Arts,YouTube Learning,Laptop,Instructor-Led,2023-07-28,4.62,7,2,97.91,2
31,Germany,44,Female,Postgraduate,Business,Udemy,Mobile,Hybrid,2023-03-23,1.09,1,7,82.99,2
32,Brazil,47,Female,Postgraduate,Computer Science,Coursera,Tablet,Self-Paced,2023-04-09,2.03,2,4,51.88,3
33,India,35,Female,High School,Arts,Udacity,Laptop,Instructor-Led,2023-10-25,1.96,3,9,97.0,4
34,India,42,Male,Postgraduate,Medicine,edX,Mobile,Hybrid,2023-01-23,0.51,17,10,76.7,2
35,Japan,23,Male,Professional,Data Science,Khan Academy,Laptop,Hybrid,2023-06-03,4.17,10,6,60.57,3
36,Germany,42,Other,Postgraduate,Arts,Khan Academy,Desktop,Hybrid,2023-10-19,3.51,0,4,44.08,3
37,France,47,Other,Postgraduate,Computer Science,Udemy,Tablet,Self-Paced,2023-04-20,4.87,5,10,60.89,1
38,China,41,Other,Undergraduate,Data Science,YouTube Learning,Desktop,Instructor-Led,2023-04-12,0.75,15,9,31.79,1
39,Germany,26,Other,Professional,Computer Science,Udacity,Laptop,Self-Paced,2023-07-24,4.11,0,1,39.52,4
40,India,43,Other,Professional,Medicine,Khan Academy,Laptop,Hybrid,2023-08-22,3.06,16,8,30.67,5
41,China,30,Female,Professional,Computer Science,YouTube Learning,Tablet,Self-Paced,2023-09-01,4.63,20,4,56.01,5
42,Germany,39,Other,Undergraduate,Data Science,Udemy,Mobile,Instructor-Led,2023-05-20,5.41,2,2,46.87,2
43,Pakistan,16,Other,Professional,Arts,Coursera,Tablet,Instructor-Led,2023-07-28,3.06,1,3,46.47,4
44,UAE,29,Female,Undergraduate,Engineering,Khan Academy,Desktop,Self-Paced,2023-07-19,5.74,13,8,88.28,5
45,Canada,49,Male,Professional,Medicine,Udacity,Mobile,Self-Paced,2023-07-19,4.24,12,2,46.89,4
46,Pakistan,35,Male,Professional,Engineering,edX,Desktop,Instructor-Led,2023-11-26,5.27,5,0,54.29,3
47,India,29,Other,High School,Data Science,Coursera,Mobile,Self-Paced,2023-08-04,0.95,0,8,40.18,1
48,Brazil,22,Other,Undergraduate,Arts,YouTube Learning,Tablet,Instructor-Led,2023-04-13,3.92,7,2,87.14,4
49,UK,16,Female,Professional,Arts,YouTube Learning,Laptop,Self-Paced,2023-03-27,5.8,3,2,68.47,3
50,UAE,22,Other,High School,Engineering,Udacity,Desktop,Hybrid,2023-10-31,3.95,3,4,75.25,5
51,UK,42,Female,Professional,Data Science,Udemy,Desktop,Self-Paced,2023-07-09,4.06,0,6,25.52,4
52,Pakistan,32,Female,Undergraduate,Computer Science,edX,Desktop,Self-Paced,2023-09-25,1.99,17,7,97.24,4
53,India,26,Female,Undergraduate,Engineering,edX,Tablet,Instructor-Led,2023-08-26,4.18,10,0,65.59,4
54,UK,30,Other,Professional,Arts,Udacity,Laptop,Hybrid,2023-11-02,2.02,0,8,76.09,2
55,Germany,40,Other,Undergraduate,Engineering,YouTube Learning,Tablet,Instructor-Led,2023-09-01,3.2,0,1,71.67,3
56,South Africa,44,Female,Postgraduate,Engineering,Udemy,Mobile,Hybrid,2023-10-11,2.84,17,5,62.47,3
57,South Africa,45,Female,Postgraduate,Computer Science,Udemy,Tablet,Self-Paced,2023-04-09,4.59,5,3,45.24,2
58,USA,18,Other,Postgraduate,Data Science,Udemy,Desktop,Self-Paced,2023-07-04,0.58,17,2,34.36,3
59,USA,31,Female,High School,Computer Science,Khan Academy,Desktop,Self-Paced,2023-01-07,3.08,14,5,65.93,2
60,UK,30,Male,Professional,Medicine,Udacity,Laptop,Hybrid,2023-10-23,0.79,4,9,70.36,3
61,Australia,18,Other,High School,Business,YouTube Learning,Laptop,Instructor-Led,2023-07-14,2.93,18,6,56.04,3
62,USA,41,Female,Professional,Engineering,Coursera,Laptop,Instructor-Led,2023-12-05,1.82,17,1,26.49,2
63,France,27,Female,High School,Medicine,Udemy,Laptop,Instructor-Led,2023-12-28,5.23,2,10,42.62,2
64,France,43,Male,Professional,Data Science,edX,Desktop,Instructor-Led,2023-03-14,1.41,9,9,25.71,5
65,South Africa,35,Other,Postgraduate,Computer Science,Coursera,Laptop,Hybrid,2023-09-14,2.91,19,0,63.2,4
66,UAE,26,Female,Professional,Engineering,Udemy,Desktop,Hybrid,2023-10-22,0.61,8,9,66.97,1
67,Brazil,21,Male,Postgraduate,Arts,YouTube Learning,Desktop,Instructor-Led,2023-09-09,3.09,13,5,97.52,3
68,UK,35,Female,Postgraduate,Computer Science,Khan Academy,Mobile,Hybrid,2023-12-06,4.97,17,0,95.62,4
69,UAE,46,Other,Professional,Computer Science,Udemy,Tablet,Hybrid,2023-10-05,0.8,16,5,56.96,5
70,Brazil,30,Other,Undergraduate,Engineering,Udacity,Mobile,Hybrid,2023-03-09,2.91,15,1,94.21,1
71,Brazil,24,Female,Postgraduate,Medicine,YouTube Learning,Tablet,Instructor-Led,2023-07-28,5.96,3,7,27.46,1
72,Germany,47,Other,Undergraduate,Computer Science,edX,Desktop,Instructor-Led,2023-09-05,1.84,17,2,98.42,4
73,Brazil,46,Male,Professional,Medicine,Khan Academy,Tablet,Instructor-Led,2023-09-17,0.51,9,9,41.37,5
74,Australia,39,Male,Professional,Computer Science,edX,Desktop,Hybrid,2023-10-10,2.57,10,3,81.03,2
75,USA,23,Other,Postgraduate,Computer Science,Khan Academy,Mobile,Hybrid,2023-07-15,4.15,20,2,50.89,4
76,China,31,Female,Professional,Data Science,Coursera,Tablet,Hybrid,2023-08-22,1.29,20,2,21.23,1
77,Australia,19,Male,Postgraduate,Business,YouTube Learning,Mobile,Instructor-Led,2023-10-01,2.24,15,8,50.4,1
78,South Africa,34,Male,High School,Engineering,Coursera,Tablet,Instructor-Led,2023-02-20,4.37,3,7,80.83,2
79,Canada,26,Male,Professional,Medicine,YouTube Learning,Laptop,Instructor-Led,2023-07-11,1.84,13,9,54.45,2
80,Brazil,15,Female,Postgraduate,Data Science,Udacity,Laptop,Self-Paced,2023-10-26,3.04,8,7,31.45,3
81,South Africa,31,Female,Postgraduate,Business,Khan Academy,Desktop,Self-Paced,2023-08-15,5.93,9,10,95.62,4
82,Brazil,40,Female,High School,Medicine,YouTube Learning,Mobile,Hybrid,2023-05-02,2.47,9,4,50.51,1
83,Germany,27,Other,Postgraduate,Data Science,YouTube Learning,Laptop,Hybrid,2023-09-12,5.47,7,9,86.63,3
84,Australia,38,Other,Undergraduate,Computer Science,edX,Tablet,Hybrid,2023-02-19,4.05,9,7,92.27,1
85,Japan,32,Male,Postgraduate,Arts,edX,Tablet,Self-Paced,2023-08-01,1.23,17,5,34.05,5
86,UAE,50,Female,High School,Arts,Coursera,Tablet,Hybrid,2023-08-28,1.27,7,10,97.03,4
87,Brazil,38,Male,Undergraduate,Arts,Coursera,Tablet,Hybrid,2023-03-05,4.2,8,9,56.38,4
88,UK,23,Male,High School,Engineering,Khan Academy,Mobile,Self-Paced,2023-04-24,3.99,14,4,71.81,4
89,Pakistan,24,Female,High School,Arts,Udacity,Desktop,Instructor-Led,2023-05-01,1.25,14,5,90.98,5
90,UK,38,Other,Postgraduate,Computer Science,Khan Academy,Tablet,Self-Paced,2023-01-17,1.69,14,3,75.22,3
91,Brazil,16,Male,Postgraduate,Business,Udemy,Laptop,Self-Paced,2023-03-04,5.03,2,10,95.92,2
92,UAE,15,Female,Undergraduate,Business,Udacity,Tablet,Self-Paced,2023-10-11,1.69,7,5,36.57,2
93,Australia,35,Male,Undergraduate,Engineering,Coursera,Laptop,Hybrid,2023-02-26,0.64,0,5,72.88,2
94,Japan,21,Female,Undergraduate,Medicine,Coursera,Tablet,Instructor-Led,2023-08-04,4.6,15,7,62.09,3
95,Brazil,21,Female,Professional,Computer Science,Coursera,Tablet,Hybrid,2023-11-26,0.83,15,6,97.12,4
96,South Africa,35,Female,Postgraduate,Arts,Udacity,Desktop,Self-Paced,2023-03-17,2.01,20,9,25.25,5
97,China,29,Female,Postgraduate,Arts,Khan Academy,Desktop,Hybrid,2023-12-26,4.1,17,3,29.15,4
98,Brazil,45,Male,High School,Computer Science,Coursera,Desktop,Self-Paced,2023-02-18,2.22,8,5,45.0,2
99,India,22,Female,Postgraduate,Data Science,Khan Academy,Mobile,Instructor-Led,2023-07-10,3.56,18,8,84.94,5
100,Brazil,45,Male,High School,Engineering,Udacity,Tablet,Self-Paced,2023-11-04,1.07,16,3,45.0,2
101,Brazil,50,Male,Postgraduate,Computer Science,Udemy,Tablet,Hybrid,2023-05-23,4.94,17,9,65.93,5
102,Brazil,40,Male,Undergraduate,Data Science,YouTube Learning,Mobile,Self-Paced,2023-06-08,2.43,5,2,93.72,5
103,France,35,Other,High School,Computer Science,Udemy,Laptop,Hybrid,2023-09-29,2.81,10,2,37.21,3
104,China,41,Female,Undergraduate,Medicine,Coursera,Tablet,Instructor-Led,2023-01-26,2.0,13,7,73.92,5
105,USA,29,Female,High School,Computer Science,Udemy,Tablet,Self-Paced,2023-02-26,4.23,15,8,42.66,3
106,South Africa,42,Male,Undergraduate,Arts,Udacity,Laptop,Hybrid,2023-03-12,2.09,3,0,81.13,4
107,Pakistan,16,Female,High School,Engineering,Udacity,Desktop,Hybrid,2023-10-14,4.93,2,6,86.67,1
108,India,25,Other,Professional,Data Science,edX,Mobile,Instructor-Led,2023-07-27,2.8,3,6,76.76,1
109,France,36,Male,Postgraduate,Business,Coursera,Mobile,Hybrid,2023-02-24,3.74,16,1,39.47,4
110,Germany,21,Male,Postgraduate,Business,Udemy,Laptop,Hybrid,2023-09-19,4.77,11,10,35.51,2
111,UAE,43,Other,Postgraduate,Data Science,edX,Laptop,Instructor-Led,2023-02-08,4.75,15,7,34.17,5
112,India,47,Male,Postgraduate,Arts,Khan Academy,Mobile,Self-Paced,2023-02-04,3.97,8,9,57.51,1
113,Japan,39,Female,High School,Arts,Udacity,Laptop,Instructor-Led,2023-07-08,0.92,2,9,86.54,5
114,UAE,36,Other,High School,Medicine,YouTube Learning,Laptop,Self-Paced,2023-11-06,1.33,1,7,58.05,1
115,Canada,38,Female,Postgraduate,Arts,Khan Academy,Tablet,Hybrid,2023-05-07,5.95,16,8,76.61,5
116,UK,50,Other,Professional,Engineering,edX,Laptop,Instructor-Led,2023-11-03,3.97,10,1,24.19,3
117,Canada,20,Female,Professional,Data Science,edX,Laptop,Hybrid,2023-02-11,1.28,11,4,66.62,4
118,Japan,38,Male,Postgraduate,Engineering,Udemy,Laptop,Instructor-Led,2023-12-26,4.56,16,1,86.32,4
119,UAE,21,Other,High School,Data Science,edX,Laptop,Hybrid,2023-09-06,6.0,4,1,35.36,3
120,USA,41,Female,Undergraduate,Arts,Udacity,Tablet,Hybrid,2023-07-12,1.49,19,2,32.34,4
121,Brazil,43,Female,Postgraduate,Arts,Udacity,Desktop,Self-Paced,2023-08-18,1.82,15,3,38.72,3
122,India,50,Male,High School,Engineering,Coursera,Laptop,Instructor-Led,2023-04-13,1.26,8,0,84.1,4
123,China,37,Male,Professional,Computer Science,Khan Academy,Tablet,Self-Paced,2023-08-19,1.31,13,1,92.42,2
124,South Africa,36,Male,Undergraduate,Computer Science,edX,Desktop,Hybrid,2023-07-17,2.56,0,5,99.56,1
125,USA,31,Male,Undergraduate,Medicine,YouTube Learning,Desktop,Self-Paced,2023-03-13,3.08,19,0,80.71,1
126,China,19,Male,Professional,Medicine,Udacity,Mobile,Hybrid,2023-05-28,1.17,7,6,39.01,5
127,Australia,37,Male,Professional,Business,YouTube Learning,Mobile,Hybrid,2023-09-21,4.45,9,6,66.0,1
128,USA,39,Female,High School,Data Science,Khan Academy,Tablet,Instructor-Led,2023-07-04,3.39,16,8,25.41,5
129,UAE,36,Male,High School,Engineering,Udacity,Tablet,Hybrid,2023-01-09,0.87,7,10,48.57,1
130,UAE,23,Male,Professional,Computer Science,edX,Laptop,Self-Paced,2023-03-31,4.27,15,10,86.43,2
131,Japan,45,Female,High School,Data Science,Udemy,Tablet,Instructor-Led,2023-04-13,2.24,9,8,90.86,4
132,Pakistan,43,Female,Postgraduate,Business,Khan Academy,Desktop,Instructor-Led,2023-01-25,2.33,3,5,89.26,4
133,Australia,26,Other,Postgraduate,Engineering,Coursera,Mobile,Instructor-Led,2023-09-23,0.95,13,1,41.34,4
134,India,43,Male,Postgraduate,Medicine,Khan Academy,Tablet,Hybrid,2023-12-05,2.95,13,2,43.65,4
135,USA,24,Other,Professional,Computer Science,Udemy,Mobile,Self-Paced,2023-01-30,4.01,11,8,26.0,2
136,Canada,43,Female,Postgraduate,Arts,Coursera,Laptop,Hybrid,2023-11-27,2.61,18,0,49.31,5
137,South Africa,26,Female,Professional,Medicine,Coursera,Tablet,Instructor-Led,2023-07-07,4.07,7,1,51.84,1
138,UK,23,Male,Professional,Business,YouTube Learning,Desktop,Self-Paced,2023-12-27,5.98,9,7,55.7,2
139,Japan,33,Female,Undergraduate,Data Science,YouTube Learning,Laptop,Instructor-Led,2023-12-16,5.93,11,1,97.4,5
140,USA,38,Other,Postgraduate,Arts,Udacity,Laptop,Hybrid,2023-09-18,5.92,4,3,37.94,4
141,UAE,41,Other,High School,Business,edX,Mobile,Instructor-Led,2023-02-14,2.69,15,8,25.26,4
142,Canada,23,Female,High School,Computer Science,Udacity,Laptop,Instructor-Led,2023-08-27,2.39,17,10,74.41,5
143,France,20,Female,Undergraduate,Data Science,Udacity,Tablet,Self-Paced,2023-03-26,5.64,7,5,32.96,5
144,Australia,24,Male,Postgraduate,Medicine,Coursera,Mobile,Self-Paced,2023-11-17,3.43,16,10,44.23,2
145,UAE,41,Other,High School,Arts,YouTube Learning,Tablet,Hybrid,2023-01-24,4.74,8,10,95.88,2
146,UK,18,Male,Professional,Arts,Khan Academy,Desktop,Self-Paced,2023-06-04,4.93,12,4,58.64,4
147,Canada,38,Other,High School,Engineering,Udemy,Desktop,Self-Paced,2023-06-24,2.22,10,5,68.53,4
148,Australia,41,Male,Undergraduate,Engineering,Udacity,Tablet,Self-Paced,2023-05-17,1.27,1,4,55.97,4
149,USA,20,Female,Professional,Business,Udemy,Tablet,Self-Paced,2023-03-23,3.33,15,4,59.86,4
150,France,49,Male,High School,Arts,Udemy,Tablet,Hybrid,2023-01-26,3.79,20,10,42.51,4
151,Japan,27,Female,Postgraduate,Computer Science,Khan Academy,Desktop,Hybrid,2023-07-07,2.51,12,0,81.11,5
152,UK,40,Female,Postgraduate,Medicine,edX,Laptop,Self-Paced,2023-05-24,3.93,19,1,86.02,2
153,South Africa,36,Female,Professional,Business,Udacity,Laptop,Instructor-Led,2023-11-05,3.25,1,0,60.73,2
154,India,47,Other,Professional,Data Science,Udacity,Tablet,Instructor-Led,2023-11-10,2.66,19,4,45.48,5
155,UAE,16,Other,Professional,Engineering,YouTube Learning,Laptop,Hybrid,2023-01-09,4.21,13,9,49.47,3
156,Canada,30,Male,High School,Business,Coursera,Desktop,Instructor-Led,2023-01-27,1.44,20,9,66.68,4
157,China,18,Other,Undergraduate,Medicine,Udemy,Tablet,Hybrid,2023-08-03,4.3,13,8,32.11,5
158,India,49,Female,Postgraduate,Medicine,Khan Academy,Laptop,Self-Paced,2023-09-02,2.23,5,7,62.04,5
159,South Africa,46,Female,Professional,Engineering,Udacity,Tablet,Instructor-Led,2023-05-23,1.74,9,4,64.65,2
160,France,17,Female,High School,Engineering,Khan Academy,Tablet,Hybrid,2023-03-04,3.49,12,5,65.88,2
161,Canada,21,Other,Undergraduate,Business,Coursera,Laptop,Hybrid,2023-09-03,5.05,8,8,37.12,3
162,USA,50,Male,Professional,Data Science,Khan Academy,Desktop,Hybrid,2023-04-30,2.77,15,1,24.2,2
163,UAE,20,Other,Undergraduate,Medicine,YouTube Learning,Mobile,Self-Paced,2023-04-13,2.08,9,10,80.47,1
164,Canada,33,Male,High School,Engineering,Udacity,Mobile,Instructor-Led,2023-08-02,1.47,1,6,90.58,4
165,Japan,44,Female,Undergraduate,Computer Science,edX,Laptop,Hybrid,2023-05-26,4.03,16,7,56.35,2
166,Australia,27,Male,Professional,Arts,Udacity,Tablet,Self-Paced,2023-08-23,4.45,0,5,71.86,3
167,Germany,15,Female,Professional,Business,Khan Academy,Tablet,Instructor-Led,2023-07-25,1.52,4,7,73.54,3
168,South Africa,30,Male,High School,Arts,edX,Laptop,Instructor-Led,2023-06-04,3.65,8,10,66.6,3
169,India,29,Male,Undergraduate,Arts,Udemy,Desktop,Hybrid,2023-12-18,5.42,9,1,60.2,3
170,UAE,30,Other,High School,Medicine,Khan Academy,Tablet,Self-Paced,2023-11-07,4.36,15,8,49.89,2
171,Japan,24,Male,Postgraduate,Medicine,Khan Academy,Mobile,Hybrid,2023-10-16,5.06,16,3,28.98,5
172,China,23,Other,Professional,Arts,Udacity,Mobile,Hybrid,2023-04-16,3.19,16,7,77.35,1
173,USA,28,Other,High School,Computer Science,Khan Academy,Tablet,Hybrid,2023-08-25,2.19,0,6,73.82,3
174,France,41,Male,Undergraduate,Data Science,YouTube Learning,Desktop,Instructor-Led,2023-02-02,0.83,2,7,63.29,1
175,Brazil,49,Male,Postgraduate,Computer Science,Udemy,Desktop,Hybrid,2023-07-15,5.54,12,6,55.88,1
176,China,49,Female,Professional,Business,Udemy,Desktop,Instructor-Led,2023-03-07,1.72,0,0,78.23,3
177,Australia,16,Male,Undergraduate,Computer Science,Coursera,Mobile,Instructor-Led,2023-03-21,5.66,3,0,42.05,4
178,China,29,Other,Undergraduate,Computer Science,Udemy,Tablet,Self-Paced,2023-11-03,5.3,7,0,73.76,4
179,Canada,48,Male,Professional,Engineering,edX,Mobile,Hybrid,2023-10-22,3.79,10,3,45.51,3
180,Japan,46,Male,Postgraduate,Data Science,YouTube Learning,Desktop,Hybrid,2023-10-30,5.51,20,10,90.38,4
181,UAE,49,Female,Undergraduate,Business,edX,Laptop,Instructor-Led,2023-06-13,2.75,9,6,75.7,2
182,Pakistan,30,Female,Undergraduate,Engineering,YouTube Learning,Mobile,Instructor-Led,2023-01-30,5.82,17,8,64.99,2
183,Pakistan,17,Male,Undergraduate,Medicine,YouTube Learning,Laptop,Instructor-Led,2023-07-09,4.49,6,0,27.4,3
184,South Africa,22,Other,Professional,Business,YouTube Learning,Laptop,Instructor-Led,2023-04-17,2.33,0,3,89.56,2
185,Brazil,37,Female,Postgraduate,Engineering,Udacity,Desktop,Instructor-Led,2023-05-03,4.77,12,7,64.17,5
186,India,41,Male,Undergraduate,Data Science,Udemy,Mobile,Instructor-Led,2023-02-20,4.47,10,3,84.23,3
187,Germany,36,Male,Professional,Medicine,Udemy,Desktop,Hybrid,2023-10-11,3.69,13,4,94.78,2
188,China,25,Other,Postgraduate,Business,Udemy,Desktop,Self-Paced,2023-12-02,2.36,15,10,95.48,4
189,Brazil,18,Male,Professional,Business,YouTube Learning,Laptop,Self-Paced,2023-10-05,5.76,16,0,99.23,1
190,Australia,45,Other,Professional,Computer Science,Coursera,Desktop,Self-Paced,2023-12-29,1.7,14,5,32.08,1
191,South Africa,42,Male,High School,Computer Science,Udacity,Laptop,Self-Paced,2023-01-09,2.01,9,0,62.35,5
192,UK,38,Female,Professional,Medicine,Udemy,Laptop,Instructor-Led,2023-04-09,1.89,11,4,69.58,4
193,Pakistan,39,Female,Professional,Computer Science,YouTube Learning,Mobile,Hybrid,2023-12-17,0.94,20,0,86.24,1
194,UK,48,Male,Undergraduate,Business,YouTube Learning,Desktop,Instructor-Led,2023-03-29,5.15,20,5,26.61,5
195,Brazil,17,Male,Postgraduate,Computer Science,Udemy,Laptop,Hybrid,2023-01-24,4.26,8,8,93.93,5
196,Pakistan,49,Female,Professional,Data Science,Udemy,Mobile,Hybrid,2023-07-23,2.15,18,3,94.31,5
197,UAE,40,Female,High School,Data Science,edX,Desktop,Instructor-Led,2023-06-27,2.9,2,5,24.3,5
198,Brazil,39,Male,Postgraduate,Business,YouTube Learning,Mobile,Self-Paced,2023-04-27,5.68,13,2,48.46,5
199,India,38,Male,High School,Computer Science,edX,Desktop,Instructor-Led,2023-05-18,4.41,20,2,32.34,4
200,Japan,47,Female,High School,Computer Science,Coursera,Tablet,Hybrid,2023-05-19,0.98,13,7,28.18,5
201,Pakistan,39,Male,Undergraduate,Medicine,Udacity,Laptop,Hybrid,2023-02-17,4.81,12,0,67.75,3
202,UK,25,Female,Postgraduate,Arts,edX,Desktop,Self-Paced,2023-07-14,1.98,8,7,33.56,2
203,Australia,27,Female,High School,Business,edX,Mobile,Instructor-Led,2023-07-04,1.86,20,7,40.14,5
204,Pakistan,23,Female,Postgraduate,Medicine,YouTube Learning,Laptop,Instructor-Led,2023-06-20,2.59,10,7,87.33,3
205,Australia,30,Female,Professional,Engineering,Khan Academy,Tablet,Self-Paced,2023-06-10,2.69,10,4,34.21,4
206,USA,44,Other,Undergraduate,Arts,edX,Mobile,Instructor-Led,2023-10-16,5.98,5,10,35.98,5
207,South Africa,42,Female,High School,Arts,Udacity,Desktop,Hybrid,2023-12-11,3.98,7,4,59.94,2
208,UAE,38,Other,High School,Computer Science,Udemy,Tablet,Self-Paced,2023-07-25,5.58,13,8,62.75,1
209,UAE,36,Female,High School,Computer Science,Coursera,Tablet,Self-Paced,2023-11-28,3.6,20,10,69.01,4
210,India,40,Female,Undergraduate,Engineering,Coursera,Desktop,Self-Paced,2023-09-19,3.57,18,3,79.75,4
211,France,36,Female,Undergraduate,Medicine,Khan Academy,Tablet,Instructor-Led,2023-06-01,5.79,3,2,53.28,3
212,USA,22,Male,Postgraduate,Data Science,Coursera,Laptop,Hybrid,2023-02-19,4.33,10,1,55.05,3
213,China,29,Female,Undergraduate,Business,YouTube Learning,Desktop,Instructor-Led,2023-05-05,3.54,10,8,61.28,4
214,Pakistan,15,Other,Undergraduate,Business,edX,Mobile,Hybrid,2023-01-15,5.36,14,9,78.99,4
215,China,22,Female,Professional,Medicine,YouTube Learning,Tablet,Hybrid,2023-02-22,3.45,11,5,83.96,2
216,Australia,26,Other,Postgraduate,Medicine,Udacity,Mobile,Hybrid,2023-07-18,3.73,11,5,68.9,4
217,South Africa,24,Other,Professional,Arts,Udacity,Laptop,Hybrid,2023-03-10,1.81,3,2,45.05,3
218,Japan,25,Female,Postgraduate,Business,Udemy,Tablet,Instructor-Led,2023-07-16,3.18,17,10,53.84,2
219,Germany,39,Other,Professional,Arts,YouTube Learning,Desktop,Instructor-Led,2023-11-14,2.47,0,7,24.29,2
220,UAE,29,Female,High School,Engineering,Udemy,Tablet,Self-Paced,2023-12-30,3.19,2,9,87.19,1
221,UK,22,Female,Postgraduate,Medicine,Coursera,Desktop,Hybrid,2023-08-23,4.75,15,8,65.25,5
222,USA,43,Female,Postgraduate,Computer Science,Khan Academy,Mobile,Self-Paced,2023-04-22,1.06,20,3,99.18,3
223,Canada,23,Male,Undergraduate,Computer Science,Udacity,Tablet,Hybrid,2023-04-18,3.73,11,9,84.86,4
224,France,47,Other,High School,Business,Khan Academy,Mobile,Instructor-Led,2023-05-24,1.43,9,4,67.75,5
225,Germany,40,Female,Undergraduate,Medicine,YouTube Learning,Tablet,Hybrid,2023-12-02,5.26,7,2,30.15,3
226,South Africa,32,Other,Postgraduate,Arts,Khan Academy,Tablet,Hybrid,2023-08-01,0.92,2,6,50.01,5
227,UK,49,Female,Undergraduate,Arts,Udemy,Desktop,Instructor-Led,2023-01-02,5.16,2,7,89.51,3
228,China,36,Other,High School,Computer Science,Coursera,Desktop,Self-Paced,2023-06-15,2.36,18,2,86.27,5
229,Germany,23,Other,Postgraduate,Business,edX,Mobile,Hybrid,2023-03-05,1.37,14,0,94.35,4
230,Pakistan,34,Other,Undergraduate,Arts,YouTube Learning,Mobile,Hybrid,2023-07-04,2.55,20,2,40.03,1
231,Japan,43,Male,High School,Data Science,edX,Mobile,Instructor-Led,2023-02-18,3.12,4,9,20.09,2
232,UK,35,Female,Postgraduate,Business,Khan Academy,Laptop,Hybrid,2023-12-22,0.89,12,1,30.57,1
